170 CAT   @ 4.72
706 AA    @ 6.45
806 CSCO  @ 3.10
102 AAPL  @ 6.64
507 BA    @ 7.90
763 AA    @ 1.50
549 CMCSA @ 9.85
292 CSCO  @ 1.64
349 BAC   @ 5.32
799 CSCO  @ 5.09
489 CAT   @ 8.10
317 C     @ 6.06
203 AA    @ 5.25
594 BAC   @ 7.75
287 CSCO  @ 9.00
628 BBBY  @ 9.12
963 CMCSA @ 5.08
12 CAT   @ 1.81
325 BA    @ 6.16
113 BA    @ 5.32
206 AA    @ 5.50
233 AAPL  @ 2.50
61 CSCO  @ 7.18
691 BA    @ 3.07
68 C     @ 3.88
39 AA    @ 6.37
360 BBBY  @ 9.62
839 CSCO  @ 8.10
663 AAPL  @ 5.62
9 BBBY  @ 6.46
711 AA    @ 9.16
791 CMCSA @ 3.49
201 C     @ 9.35
651 CSCO  @ 9.82
117 AA    @ 8.83
197 C     @ 2.46
393 AAPL  @ 8.25
808 CSCO  @ 3.40
800 BBBY  @ 4.96
576 C     @ 1.54
926 CSCO  @ 3.70
301 BAC   @ 2.35
775 BAC   @ 8.90
496 AA    @ 5.36
461 CAT   @ 9.28
578 CSCO  @ 1.45
344 AAPL  @ 5.74
377 BAC   @ 5.84
777 CAT   @ 9.20
926 CSCO  @ 6.64
829 BA    @ 6.02
599 AAPL  @ 8.38
279 CMCSA @ 2.15
561 BAC   @ 7.60
827 CSCO  @ 5.40
419 CMCSA @ 7.51
381 BAC   @ 6.36
94 CAT   @ 6.76
987 CMCSA @ 1.24
879 BAC   @ 9.40
811 CAT   @ 6.71
962 CSCO  @ 4.45
562 BA    @ 2.85
182 CMCSA @ 3.13
207 C     @ 5.86
407 CSCO  @ 1.96
538 AA    @ 4.44
96 BAC   @ 5.25
412 BAC   @ 4.84
769 C     @ 9.40
590 CSCO  @ 7.90
136 CSCO  @ 9.52
780 AA    @ 3.70
564 C     @ 1.92
742 BAC   @ 6.64
581 AAPL  @ 6.25
791 BA    @ 2.16
894 CMCSA @ 5.39
640 CSCO  @ 4.15
839 CMCSA @ 8.68
24 AA    @ 2.62
612 BA    @ 8.20
700 BAC   @ 9.64
62 BBBY  @ 2.05
103 BBBY  @ 5.26
150 BA    @ 2.20
54 AA    @ 1.46
968 BA    @ 5.88
309 AA    @ 5.32
859 AAPL  @ 3.01
738 CAT   @ 7.40
81 BAC   @ 7.75
693 BA    @ 4.33
646 BAC   @ 1.00
96 BA    @ 2.44
916 AAPL  @ 2.88
815 CAT   @ 4.93
555 BAC   @ 4.08
322 AAPL  @ 2.84
520 BA    @ 5.04
321 CSCO  @ 5.71
843 AA    @ 5.41
335 CMCSA @ 4.20
867 AA    @ 8.52
101 CMCSA @ 6.76
564 CSCO  @ 9.84
378 CSCO  @ 9.28
507 CAT   @ 2.62
844 C     @ 5.38
938 BBBY  @ 2.88
183 AAPL  @ 2.80
578 BA    @ 2.80
559 CSCO  @ 5.04
296 CMCSA @ 4.51
